ID,Name,Manufacturer,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Maintenance,actual cost
1153,SX4 ZDI,Maruti,2011,80000,Diesel,Manual,3,1248,88.8,5,21.5,350000.0,35000,800000
1154,Grand i10,Hyundai,2018,50234,Petrol,Manual,1,1197,81.86,5,18.9,476999.99999999994,22600,725000
1155,Baleno Delta,Maruti,2016,50003,Petrol,Manual,1,1197,83.1,5,21.4,545000.0,32000,825000
1156,Tigor 1.2,Tata,2018,1000,Petrol,Automatic,1,1199,84.0,5,20.3,685000.0,18500,720000
1157,Swift Dzire,Maruti,2016,54897,Diesel,Automatic,1,1248,74.0,5,26.59,730000.0,39160,850000
1158,Indica GLS,Tata,2007,108995,Petrol,Manual,1,1193,65.3,5,15.3,125000.0,25000,500000
1159,SX4 S,Maruti,2015,73000,Diesel,Manual,1,1598,118.0,5,22.7,825000.0,"42,120",1100000
1160,Swift VXI,Maruti,2008,65000,Petrol,Manual,1,1298,88.2,5,16.1,271000.0,39160,775000
1161,Xcent 1.2,Hyundai,2016,32000,Petrol,Manual,1,1197,82.0,5,19.1,360000.0,25000,700000
1162,i20 1.2,Hyundai,2010,65000,Petrol,Manual,1,1197,80.0,5,18.5,300000.0,27500,725000
1163,Celerio VXI,Maruti,2016,21600,Petrol,Automatic,1,998,67.04,5,23.1,465000.00000000006,27930,620000
1164,New C-Class,MercedesBenz,2010,39000,Diesel,Automatic,1,2143,170.0,5,14.84,950000.0,650000,7000000
1165,Swift Dzire,Maruti,2011,58075,Petrol,Manual,1,1298,85.8,5,17.5,295000.0,39160,850000
1166,Vento Petrol,Volkswagen,2011,58000,Petrol,Manual,1,1598,103.6,5,15.04,300000.0,35484,1300000
1167,Swift ZDi,Maruti,2015,58000,Diesel,Manual,1,1248,74.0,5,25.2,595000.0,39160,775000
1168,Corolla Altis,Toyota,2008,89000,Petrol,Automatic,1,1798,138.1,5,14.53,400000.0,50000,1600000
1169,Civic 2006-2010,Honda,2008,72000,Petrol,Manual,1,1799,130.0,5,13.5,250000.0,36600,1425000
1170,EcoSport 1.5,Ford,2017,1800,Petrol,Automatic,1,1499,110.4,5,16.05,1137000.0,35924,1100000
1171,Linea Emotion,Fiat,2010,172050,Diesel,Manual,2,1248,93.0,5,19.0,225000.0,40000,900000
1172,i10 Era,Hyundai,2013,46230,Petrol,Manual,1,1086,68.05,5,19.81,310000.0,22600,725000
1173,XC60 D5,Volvo,2014,86925,Diesel,Automatic,1,2400,215.0,5,11.2,1718000.0,500000,7000000
1174,i20 1.2,Hyundai,2018,5000,Petrol,Manual,1,1197,81.83,5,18.6,650000.0,27500,725000
1175,City i,Honda,2014,66000,Diesel,Manual,1,1498,98.6,5,26.0,570000.0,36600,1425000
1176,Innova 2.5,Toyota,2013,119000,Diesel,Manual,1,2494,100.0,8,12.99,800000.0,85000,2000000
1177,KWID RXT,Renault,2016,45000,Petrol,Manual,1,799,53.3,5,25.17,260000.0,19760,550000
1178,A-Star Vxi,Maruti,2009,66149,Petrol,Manual,1,998,66.1,5,19.0,245000.00000000003,20000,400000
1179,B Class,MercedesBenz,2014,42070,Petrol,Automatic,1,1595,120.7,5,14.8,1157000.0,200000,3200000
1180,Wagon R,Maruti,2012,35503,Petrol,Manual,1,998,67.1,5,18.9,229999.99999999997,27670,750000
1181,Swift VDI,Maruti,2016,41460,Diesel,Manual,1,1248,74.0,5,25.2,590000.0,39160,775000
1182,Verna VTVT,Hyundai,2015,40600,Petrol,Automatic,1,1591,121.3,5,17.0,720000.0,33350,1425000
1183,Verna CRDi,Hyundai,2013,87000,Diesel,Automatic,1,1582,126.2,5,22.0,590000.0,37450,1425000
1184,City V,Honda,2014,30000,Petrol,Manual,2,1497,116.3,5,16.8,600000.0,36600,1425000
1185,i10 Magna,Hyundai,2010,27089,Petrol,Manual,1,1086,66.7,5,16.0,195000.0,22600,725000
1186,Etios GD,Toyota,2016,53702,Diesel,Manual,1,1364,67.04,5,23.59,655000.0,25000,700000
1187,S60 D4,Volvo,2015,51000,Diesel,Automatic,1,1969,190.0,5,27.03,2500000.0,200000,4600000
1188,Figo Diesel,Ford,2012,36542,Diesel,Manual,1,1399,68.05,5,20.0,265000.0,34697,700000
1189,E-Class 2015-2017,MercedesBenz,2017,15000,Diesel,Automatic,1,2987,265.0,5,13.0,6950000.0,600000,8000000
1190,3 Series,BMW,2012,65000,Diesel,Automatic,1,1995,190.0,5,22.69,1400000.0,450000,5500000
1191,Alto 800,Maruti,2014,32000,Petrol,Manual,2,796,47.3,5,22.74,210000.0,20000,400000
1192,Innova Crysta,Toyota,2017,24393,Diesel,Manual,1,2393,147.8,7,13.68,2039999.9999999998,55000,1999000
1193,Polo 1.0,Volkswagen,2019,1000,Petrol,Manual,1,999,75.0,5,18.78,568000.0,31360,800000
1194,Terrano XL,Nissan,2014,28238,Petrol,Manual,1,1598,102.5,5,13.24,555000.0,60000,1200000
1195,Pajero Sport,Mitsubishi,2013,59000,Diesel,Manual,1,2477,175.56,7,13.5,1275000.0,200000,3000000
1196,Civic 2010-2013,Honda,2012,92000,Petrol,Manual,2,1799,130.2,5,14.8,335000.0,36600,1425000
1197,Alto 800,Maruti,2013,56840,Petrol,Manual,1,796,47.3,5,22.74,155000.0,20000,400000
1198,Vento Diesel,Volkswagen,2013,62746,Diesel,Manual,2,1598,103.6,5,20.54,590000.0,35484,1300000
1199,Rover Freelander,Land,2012,96000,Diesel,Automatic,1,2179,187.74,5,12.35,1898000.0,250000,5000000
1200,CR-V 2.0L,Honda,2014,24000,Petrol,Manual,1,1997,153.86,5,13.7,1151000.0,140000,3000000
1201,Ertiga VDI,Maruti,2016,54000,Diesel,Manual,1,1248,88.76,7,20.77,775000.0,49850,1050000
1202,Innova 2.5,Toyota,2016,90000,Diesel,Manual,1,2494,100.6,7,12.99,1390000.0,85000,2000000
1203,Manza Aura,Tata,2010,40000,Petrol,Manual,1,1368,90.0,5,15.0,135000.0,30000,600000
1204,Q7 35,Audi,2015,65938,Diesel,Automatic,2,2967,241.4,7,12.07,3800000.0,345000,8000000
1205,Verna 1.6,Hyundai,2017,16100,Petrol,Automatic,1,1591,121.4,5,17.1,1160000.0,33350,1425000
1206,Vento 1.5,Volkswagen,2017,3600,Diesel,Automatic,1,1498,108.5,5,21.5,1225000.0,35484,1300000
1207,City 1.5,Honda,2011,52000,Petrol,Manual,1,1497,118.0,5,17.0,380000.0,36600,1425000
1208,Figo Diesel,Ford,2014,54000,Diesel,Manual,1,1399,68.05,5,20.0,325000.0,34697,700000
1209,Jazz 1.2,Honda,2016,15399,Petrol,Manual,1,1199,88.7,5,18.7,640000.0,32446,900000
1210,Polo Petrol,Volkswagen,2012,75000,Petrol,Manual,2,1198,73.9,5,16.47,395000.0,31360,800000
1211,City i-VTEC,Honda,2010,76752,Petrol,Manual,1,1497,117.3,5,17.4,357000.0,36600,1425000
1212,City ZX,Honda,2005,56000,Petrol,Manual,2,1497,78.0,5,17.7,125000.0,36600,1425000
1213,Wagon R,Maruti,2015,70000,CNG,Manual,1,998,58.2,5,26.2,365000.0,27670,750000
1214,CR-V 2.4L,Honda,2013,46125,Petrol,Automatic,2,2354,187.4,5,12.0,1250000.0,140000,3000000
1215,5 Series,BMW,2014,35000,Diesel,Automatic,2,1995,190.0,5,18.12,2300000.0,500000,7200000
1216,Classic Nova,Ambassador,2003,80000,Diesel,Manual,3,1489,35.5,5,12.8,135000.0,27670,750000
1217,Scorpio VLX,Mahindra,2012,62729,Diesel,Manual,1,2179,120.0,8,12.05,632000.0,60000,1500000
1218,Vento Diesel,Volkswagen,2012,34000,Diesel,Manual,1,1598,103.6,5,20.54,340000.0,35484,1300000
1219,Zen VX,Maruti,1999,70000,Petrol,Manual,2,993,60.0,5,17.3,77000.0,20000,400000
1220,800 DX,Maruti,2009,32000,Petrol,Manual,1,796,37.0,4,16.1,90000.0,20000,400000
1221,Corolla Altis,Toyota,2017,21000,Petrol,Automatic,1,1798,138.03,5,14.28,1800000.0,50000,1600000
1222,3 Series,BMW,2013,49000,Petrol,Automatic,1,1997,245.0,5,14.59,1900000.0,450000,5500000
1223,Ikon 1.3,Ford,2007,40000,Petrol,Manual,3,1299,70.0,5,13.8,110000.00000000001,25000,600000
1224,Beat LT,Chevrolet,2012,78000,Petrol,Manual,2,1199,79.4,5,18.6,200000.0,16500,500000
1225,Corolla Altis,Toyota,2012,52000,Diesel,Manual,1,1364,86.79,5,21.43,650000.0,50000,1600000
1226,XUV500 W4,Mahindra,2014,65213,Diesel,Manual,1,2179,140.0,7,16.0,944999.9999999999,37637,1600000
1227,Xcent 1.1,Hyundai,2016,170000,Diesel,Manual,1,1120,71.0,5,24.4,400000.0,25000,700000
1228,E-Class 2015-2017,MercedesBenz,2017,36884,Diesel,Automatic,1,2143,204.0,5,13.0,3225000.0,600000,8000000
1229,i10 Sportz,Hyundai,2009,62500,Petrol,Manual,1,1197,78.9,5,20.36,210000.0,22600,725000
1230,Corolla Altis,Toyota,2015,68000,Petrol,Automatic,2,1798,138.03,5,14.28,975000.0,50000,1600000
1231,Corolla 1.8,Toyota,2014,40748,Petrol,Manual,1,1798,138.0,5,14.53,630000.0,50000,1600000
1232,Q3 2.0,Audi,2013,60000,Diesel,Automatic,1,1968,184.0,5,17.32,2100000.0,225000,3500000
1233,i20 Magna,Hyundai,2014,12400,Diesel,Manual,1,1396,88.8,5,21.9,465000.00000000006,27500,725000
1234,New C-Class,MercedesBenz,2013,87000,Diesel,Automatic,2,2143,167.62,5,19.27,1700000.0,650000,7000000
1235,Ritz VDi,Maruti,2013,20248,Diesel,Manual,1,1248,73.9,5,21.1,434999.99999999994,25000,650000
1236,Creta 1.6,Hyundai,2017,52383,Diesel,Manual,1,1582,126.2,5,19.67,1482000.0,38536,1500000
1237,XE 2.0L,Jaguar,2018,1000,Diesel,Automatic,1,1999,177.0,5,13.6,4000000.0,250000,4700000
1238,Xylo D4,Mahindra,2016,85000,Diesel,Manual,1,2489,93.7,7,14.95,615000.0,40000,1000000
1239,Innova 2.5,Toyota,2014,47000,Diesel,Manual,1,2494,100.6,7,12.99,1125000.0,85000,2000000
1240,Camry 2.5,Toyota,2018,17585,Petrol,Automatic,1,2494,157.7,5,19.16,3200000.0,160000,4700000
1241,Q5 3.0,Audi,2018,32496,Diesel,Automatic,1,2967,241.4,5,13.22,4562000.0,310000,6000000
1242,Swift VDI,Maruti,2017,34613,Diesel,Manual,1,1248,74.0,5,28.4,624000.0,39160,775000
1243,Ertiga VDI,Maruti,2015,153000,Diesel,Manual,1,1248,88.76,7,20.77,480000.0,49850,1050000
1244,Swift VXi,Maruti,2014,54000,Petrol,Manual,2,1197,85.0,5,16.1,450000.0,39160,775000
1245,i10 Sportz,Hyundai,2015,16900,Petrol,Manual,1,1197,78.9,5,20.36,387000.0,22600,725000
1246,i10 Sportz,Hyundai,2013,62334,Petrol,Manual,1,1197,78.9,5,20.36,275000.0,22600,725000
1247,Baleno Sigma,Maruti,2018,23714,Petrol,Manual,1,1197,83.1,5,21.4,657000.0,32000,825000
1248,Accent Executive,Hyundai,2010,52325,Petrol,Manual,1,1495,93.7,5,16.36,200000.0,30000,600000
1249,Brio S,Honda,2012,50000,Petrol,Manual,1,1198,86.8,5,19.4,365000.0,25000,500000
1250,Swift ZDi,Maruti,2016,55746,Diesel,Manual,1,1248,74.0,5,22.9,695000.0,39160,775000
1251,Xcent 1.2,Hyundai,2014,54000,Petrol,Manual,1,1197,81.86,5,20.14,550000.0,25000,700000
1252,XUV500 W8,Mahindra,2013,43000,Diesel,Manual,1,2179,140.0,7,16.0,700000.0,37637,1600000
1253,E-Class E250,MercedesBenz,2014,40000,Diesel,Automatic,1,2143,201.1,5,13.0,2400000.0,600000,8000000
1254,Rover Freelander,Land,2010,125000,Diesel,Automatic,2,2179,115.0,5,0.0,1100000.0,250000,5000000
1255,New C-Class,MercedesBenz,2016,51944,Diesel,Automatic,1,2143,170.0,5,19.27,3250000.0,650000,7000000
1256,i20 Asta,Hyundai,2015,46950,Diesel,Manual,1,1396,88.76,5,21.27,645000.0,27500,725000
1257,Octavia Elegance,Skoda,2015,23000,Diesel,Automatic,1,1968,141.0,5,19.3,1575000.0,140000,3000000
1258,City 1.5,Honda,2014,54546,Petrol,Manual,1,1497,118.0,5,17.0,550000.0,36600,1425000
1259,Fortuner 4x2,Toyota,2015,51535,Diesel,Automatic,1,2982,168.5,7,12.55,1903000.0,180000,4500000
1260,Q3 2.0,Audi,2013,45000,Diesel,Automatic,1,1968,184.0,5,17.32,1525000.0,225000,3500000
1261,Alto K10,Maruti,2012,46004,Petrol,Manual,1,998,67.1,5,20.92,240000.0,20000,400000
1262,Indigo eCS,Tata,2011,124000,Diesel,Manual,1,1396,69.0,5,23.03,229999.99999999997,30000,600000
1263,A4 2.0,Audi,2014,77395,Diesel,Automatic,1,1968,174.33,5,17.11,1435000.0,275000,5000000
1264,Alto 800,Maruti,2018,10600,CNG,Manual,1,796,40.3,4,33.44,350000.0,20000,400000
1265,City i-VTEC,Honda,2018,22974,Petrol,Automatic,1,1497,117.3,5,18.0,1197000.0,36600,1425000
1266,Santro GLS,Hyundai,2009,89000,Petrol,Manual,2,999,74.0,5,0.0,160000.0,26130,500000
1267,Fortuner 2.8,Toyota,2015,65012,Diesel,Manual,1,2755,174.5,7,14.24,1889999.9999999998,180000,4500000
1268,Grand i10,Hyundai,2017,17125,Petrol,Manual,1,1197,82.0,5,18.9,540000.0,22600,725000
1269,Eeco 7,Maruti,2015,90413,Petrol,Manual,1,1196,73.0,7,15.1,295000.0,25000,600000
1270,Polo Petrol,Volkswagen,2013,37000,Petrol,Manual,1,1198,73.9,5,16.47,509999.99999999994,31360,800000
1271,Wagon R,Maruti,2006,65000,Petrol,Manual,1,1061,67.0,5,18.9,150000.0,27670,750000
1272,City 1.5,Honda,2011,66000,Petrol,Manual,1,1497,118.0,5,17.0,490000.00000000006,36600,1425000
1273,Civic 2010-2013,Honda,2010,86000,Petrol,Manual,1,1799,130.2,5,14.8,290000.0,36600,1425000
1274,City 1.5,Honda,2005,98437,Petrol,Manual,1,1493,100.0,5,13.0,114999.99999999999,36600,1425000
1275,i20 1.2,Hyundai,2010,18000,Petrol,Manual,1,1197,80.0,5,18.5,229999.99999999997,27500,725000
1276,Grand i10,Hyundai,2018,35070,Diesel,Manual,1,1120,70.0,5,24.0,599000.0,28000,725000
1277,Vento Petrol,Volkswagen,2011,42000,Petrol,Automatic,3,1598,103.6,5,14.4,340000.0,35484,1300000
1278,i10 Sportz,Hyundai,2009,40000,Petrol,Manual,1,1197,78.9,5,20.36,170000.0,22600,725000
1279,i20 Asta,Hyundai,2009,43000,Petrol,Manual,1,1197,80.0,5,17.0,199000.0,27500,725000
1280,Beat LS,Chevrolet,2012,65000,Petrol,Manual,1,1199,79.4,5,18.6,250000.0,16500,500000
1281,Polo Diesel,Volkswagen,2013,74000,Diesel,Manual,1,1199,73.9,5,22.07,484999.99999999994,31360,800000
1282,Figo Petrol,Ford,2010,51192,Petrol,Manual,1,1196,70.0,5,15.6,265000.0,34697,700000
1283,TT 2.0,Audi,2014,14262,Petrol,Automatic,1,1984,207.8,2,9.9,2735000.0,425000,8000000
1284,City i,Honda,2015,66339,Diesel,Manual,2,1498,98.6,5,25.1,690000.0,36600,1425000
1285,Figo Diesel,Ford,2013,90200,Diesel,Manual,1,1399,68.05,5,20.0,350000.0,34697,700000
1286,Innova 2.5,Toyota,2015,57854,Diesel,Manual,1,2494,100.6,7,12.99,1250000.0,85000,2000000
1287,Ciaz 1.4,Maruti,2017,32000,Petrol,Automatic,1,1373,91.1,5,19.12,919999.9999999999,32235,1030000
1288,Grand i10,Hyundai,2015,29631,Petrol,Automatic,1,1197,82.0,5,18.9,490000.00000000006,22600,725000
1289,EcoSport 1.0,Ford,2014,54173,Petrol,Manual,1,999,123.24,5,18.88,555000.0,35924,1100000
1290,Octavia Ambition,Skoda,2014,50000,Petrol,Automatic,1,1798,177.6,5,14.7,1350000.0,140000,3000000
1291,Linea Emotion,Fiat,2010,145000,Diesel,Manual,1,1248,91.7,5,20.4,260000.0,40000,900000
1292,Swift Lxi,Maruti,2015,78000,Petrol,Manual,1,1298,88.2,5,16.1,450000.0,39160,775000
1293,Rover Discovery,Land,2013,65000,Diesel,Automatic,2,2993,180.0,7,11.8,3400000.0,500000,9000000
1294,Innova 2.5,Toyota,2012,120000,Diesel,Manual,1,2494,102.0,7,12.8,1200000.0,85000,2000000
1295,Swift LDI,Maruti,2015,14000,Diesel,Manual,1,1248,74.0,5,28.4,525000.0,39160,775000
1296,A6 2011-2015,Audi,2014,57456,Diesel,Automatic,1,1968,174.33,5,17.68,2156000.0,350000,6500000
1297,5 Series,BMW,2012,44450,Diesel,Automatic,1,1995,190.0,5,22.48,2468000.0,500000,7200000
1298,i20 Magna,Hyundai,2013,63777,Petrol,Manual,1,1197,82.9,5,18.5,367000.0,27500,725000
1299,X1 M,BMW,2016,31000,Diesel,Automatic,1,1995,190.0,5,17.05,2950000.0,350000,5000000
1300,Etios G,Toyota,2012,60000,Petrol,Manual,1,1496,88.73,5,17.6,310000.0,25000,700000
1301,Indigo LX,Tata,2015,78008,Diesel,Manual,1,1405,70.0,5,17.0,290000.0,30000,600000
1302,M-Class ML,MercedesBenz,2014,33000,Diesel,Automatic,2,2987,165.0,5,0.0,4300000.0,600000,6000000
1303,Beetle 2.0,Volkswagen,2009,27078,Petrol,Automatic,1,1984,114.4,4,10.98,1595000.0,150000,2700000
1304,Polo GT,Volkswagen,2011,57275,Diesel,Manual,1,1598,103.6,5,19.7,450000.0,31360,800000
1305,Grand i10,Hyundai,2014,45000,Diesel,Manual,1,1120,70.0,5,24.0,349000.0,28000,725000
1306,Swift VDI,Maruti,2014,57319,Diesel,Manual,1,1248,74.0,5,25.2,425000.0,39160,775000
1307,Verna CRDi,Hyundai,2008,121097,Diesel,Manual,2,1396,88.76,5,24.0,190000.0,37450,1425000
1308,5 Series,BMW,2011,89000,Diesel,Automatic,1,1995,218.0,5,16.73,1657000.0,500000,7200000
1309,City 1.5,Honda,2012,72000,Petrol,Manual,1,1497,118.0,5,17.0,575000.0,36600,1425000
1310,A4 2.0,Audi,2013,36000,Diesel,Automatic,2,1968,147.51,5,16.55,1400000.0,275000,5000000
1311,Linea Classic,Fiat,2013,86000,Diesel,Manual,2,1248,75.0,5,19.5,250000.0,40000,900000
1312,City 1.3,Honda,2002,85000,Petrol,Manual,1,1343,90.0,5,13.0,120000.0,36600,1425000
1313,Petra 1.2,Fiat,2005,120000,Petrol,Manual,2,1242,74.0,5,15.5,85000.0,15000,300000
1314,3 Series,BMW,2013,37613,Diesel,Automatic,1,1995,190.0,5,22.69,1395000.0,450000,5500000
1315,Fiesta 1.4,Ford,2007,100000,Petrol,Manual,1,1388,68.0,5,16.6,160000.0,35000,900000
1316,Nano XTA,Tata,2016,5240,Petrol,Automatic,1,624,37.48,4,21.9,360000.0,12000,250000
1317,Eeco 5,Maruti,2018,20000,CNG,Manual,1,1196,73.0,5,15.1,450000.0,25000,600000
1318,Ignis 1.2,Maruti,2019,16862,Petrol,Manual,1,1197,81.8,5,20.89,606000.0,25000,650000
1319,Swift Dzire,Maruti,2013,59254,Petrol,Manual,2,1298,85.8,5,17.5,529000.0,39160,850000
1320,Ecosport 1.5,Ford,2014,60000,Diesel,Manual,1,1498,89.84,5,22.7,575000.0,47435,1100000
1321,Swift Dzire,Maruti,2014,47674,Petrol,Manual,1,1197,85.8,5,19.1,572000.0,39160,850000
1322,i10 Sportz,Hyundai,2014,61517,Petrol,Automatic,1,1197,78.9,5,16.95,438999.99999999994,22600,725000
1323,XUV500 W6,Mahindra,2016,62946,Diesel,Manual,1,2179,140.0,7,15.1,1105000.0,37637,1600000
1324,i20 Magna,Hyundai,2015,66823,Diesel,Manual,2,1396,88.73,5,22.54,483000.0,27500,725000
1325,Wagon R,Maruti,2013,79494,CNG,Manual,1,998,67.04,5,33.54,296000.0,27670,750000
1326,i20 Asta,Hyundai,2012,107000,Diesel,Manual,2,1396,88.76,5,21.27,450000.0,27500,725000
1327,7 Series,BMW,2011,55000,Diesel,Automatic,2,2993,258.0,5,16.46,1950000.0,800000,18000000
1328,Rapid 1.6,Skoda,2017,24000,Petrol,Automatic,1,1598,103.52,5,14.3,875000.0,35130,1200000
1329,Q7 45,Audi,2016,20002,Diesel,Automatic,1,2967,245.0,7,14.75,6700000.0,345000,8000000
1330,City i,Honda,2016,54317,Petrol,Manual,1,1497,117.3,5,17.4,840000.0,36600,1425000
1331,Xcent 1.2,Hyundai,2016,10200,Petrol,Manual,1,1197,82.0,5,19.1,499000.0,25000,700000
1332,City i,Honda,2016,24337,Diesel,Manual,1,1498,98.6,5,26.0,818000.0,36600,1425000
1333,Brio S,Honda,2012,79000,Petrol,Manual,1,1198,86.8,5,18.4,290000.0,25000,500000
1334,Ciaz ZDi,Maruti,2015,40500,Diesel,Manual,1,1248,88.5,5,28.09,710000.0,32235,1030000
1335,Swift Dzire,Maruti,2016,23000,Diesel,Manual,1,1248,74.0,5,26.59,705000.0,39160,850000
1336,CR-V 2.4L,Honda,2015,63050,Petrol,Automatic,1,2354,158.8,5,11.1,1750000.0,140000,3000000
1337,Corolla Altis,Toyota,2008,78000,Petrol,Automatic,2,1794,138.1,5,14.53,341000.0,50000,1600000
1338,Baleno Vxi,Maruti,2005,70000,Petrol,Manual,1,1590,74.0,5,0.0,130000.0,32000,825000
1339,City 1.5,Honda,2012,66245,Petrol,Manual,1,1497,118.0,5,17.0,568000.0,36600,1425000
1340,Scorpio LX,Mahindra,2007,74112,Diesel,Manual,1,2179,120.0,9,12.05,409999.99999999994,60000,1500000
1341,Laura 1.8,Skoda,2011,87670,Petrol,Manual,1,1798,157.8,5,13.4,400000.0,75000,1700000
1342,3 Series,BMW,2015,10000,Diesel,Automatic,1,1995,184.0,5,18.88,3000000.0,450000,5500000
1343,SX4 Zxi,Maruti,2007,62493,Petrol,Manual,1,1586,104.68,5,15.0,180000.0,35000,800000
1344,Ciaz VXi,Maruti,2015,44620,Petrol,Manual,1,1373,91.1,5,20.73,693000.0,32235,1030000
1345,Rover Range,Land,2012,66538,Diesel,Automatic,1,4367,308.0,7,10.2,7000000.0,1600000,30000000
1346,Innova 2.5,Toyota,2013,60000,Diesel,Manual,1,2494,100.0,7,12.99,790000.0,85000,2000000
1347,Santro Xing,Hyundai,2011,20842,Petrol,Manual,1,1086,62.0,5,0.0,278000.0,26130,500000
1348,Santa Fe,Hyundai,2014,110000,Diesel,Automatic,1,2199,194.3,7,13.01,1440000.0,100000,3200000
1349,New C-Class,MercedesBenz,2011,45000,Petrol,Automatic,2,1796,186.0,5,11.74,1350000.0,650000,7000000
1350,Wagon R,Maruti,2014,40000,CNG,Manual,2,998,58.16,5,26.6,315000.0,27670,750000
1351,Alto LXi,Maruti,2012,49008,Petrol,Manual,1,796,46.3,5,19.7,288000.0,20000,400000
1352,Alto 800,Maruti,2016,31000,Petrol,Manual,1,796,47.3,5,24.7,215000.0,20000,400000
1353,Sunny 2011-2014,Nissan,2013,8000,Petrol,Manual,1,1498,97.7,5,16.95,375000.0,35000,900000
1354,Alto 800,Maruti,2019,171,Petrol,Manual,1,796,47.3,5,24.7,360000.0,20000,400000
1355,Alto K10,Maruti,2018,2100,Petrol,Manual,1,998,67.1,5,24.07,360000.0,20000,400000
1356,Grand i10,Hyundai,2018,20667,Petrol,Automatic,1,1197,81.86,5,18.9,755000.0,22600,725000
1357,Mobilio S,Honda,2015,50000,Diesel,Manual,1,1498,98.6,7,24.2,470000.0,40000,1000000
1358,Manza Aqua,Tata,2010,100030,Diesel,Manual,2,1248,90.0,5,18.8,160000.0,30000,600000
1359,Optra Magnum,Chevrolet,2011,75372,Diesel,Manual,1,1991,123.7,5,16.52,334000.0,27000,800000
1360,City i,Honda,2016,60475,Petrol,Automatic,1,1497,117.3,5,18.0,910000.0,36600,1425000
1361,Grand i10,Hyundai,2019,18453,Petrol,Manual,1,1197,81.86,5,18.9,617000.0,22600,725000
1362,Verna CRDi,Hyundai,2008,96578,Diesel,Manual,1,1582,126.2,5,22.0,250000.0,37450,1425000
1363,Micra XL,Nissan,2016,31001,Petrol,Manual,1,1198,75.0,5,18.44,300000.0,25000,700000
1364,Verna 1.6,Hyundai,2012,65900,Diesel,Manual,1,1582,126.32,5,22.32,575000.0,37450,1425000
1365,Creta 1.6,Hyundai,2017,26246,Petrol,Manual,1,1591,121.3,5,15.29,1075000.0,38536,1500000
1366,Wagon R,Maruti,2013,62700,Petrol,Manual,2,998,67.04,5,20.51,285000.0,27670,750000
1367,Accord 2.4,Honda,2008,90000,Petrol,Automatic,1,2354,180.0,5,10.2,650000.0,160000,4600000
1368,City 1.5,Honda,2016,36000,Petrol,Automatic,1,1497,118.0,5,16.8,944999.9999999999,36600,1425000
1369,Baleno Alpha,Maruti,2016,46000,Diesel,Manual,1,1248,74.0,5,27.39,675000.0,32000,825000
1370,City i,Honda,2017,73003,Diesel,Manual,1,1498,98.6,5,26.0,775000.0,36600,1425000
1371,i20 Era,Hyundai,2014,46566,Diesel,Manual,1,1396,88.76,5,22.54,440000.00000000006,27500,725000
1372,E-Class 2015-2017,MercedesBenz,2015,41493,Diesel,Automatic,1,2987,265.0,5,13.0,4200000.0,600000,8000000
1373,Terrano XV,Nissan,2014,103788,Diesel,Manual,1,1461,108.5,5,19.01,567000.0,60000,1200000
1374,Duster 110PS,Renault,2016,45000,Diesel,Automatic,1,1461,108.45,5,19.6,1150000.0,35700,1250000
1375,Wagon R,Maruti,2009,120000,Petrol,Manual,1,998,67.1,5,18.9,169000.0,27670,750000
1376,Getz 1.5,Hyundai,2009,97359,Diesel,Manual,2,1493,110.0,5,17.1,180000.0,25000,460000
1377,Ritz LXi,Maruti,2016,62000,Petrol,Manual,1,1197,85.8,5,18.5,320000.0,25000,650000
1378,5 Series,BMW,2019,18373,Diesel,Automatic,1,1995,187.74,5,22.48,4586000.0,500000,7200000
1379,Polo 1.2,Volkswagen,2016,60453,Petrol,Manual,1,1198,74.0,5,16.47,509999.99999999994,31360,800000
1380,Swift VDI,Maruti,2013,37000,Diesel,Manual,1,1248,74.0,5,17.8,484999.99999999994,39160,775000
1381,Figo Petrol,Ford,2010,69009,Petrol,Manual,2,1196,70.0,5,15.6,240000.0,34697,700000
1382,3 Series,BMW,2013,30000,Diesel,Automatic,1,1995,184.0,5,18.88,2200000.0,450000,5500000
1383,Verna 1.6,Hyundai,2012,70707,Diesel,Manual,1,1582,126.32,5,22.32,428000.0,37450,1425000
1384,Duster 85PS,Renault,2015,64677,Diesel,Manual,1,1461,83.8,5,20.45,567000.0,35700,1250000
1385,Grand i10,Hyundai,2018,3000,Petrol,Automatic,1,1197,81.86,5,18.9,620000.0,22600,725000
1386,X1 sDrive20d,BMW,2013,49000,Diesel,Automatic,2,1995,184.0,5,17.05,1449000.0,350000,5000000
1387,Ritz VDi,Maruti,2010,71000,Diesel,Manual,1,1248,73.9,5,21.1,300000.0,25000,650000
1388,i10 Era,Hyundai,2010,52000,Petrol,Manual,2,1086,68.05,5,19.81,225000.0,22600,725000
1389,X5 2014-2019,BMW,2016,35659,Diesel,Automatic,1,2993,258.0,7,15.97,4378000.0,575000,9900000
1390,City V,Honda,2019,5377,Petrol,Manual,1,1497,116.3,5,16.8,1145000.0,36600,1425000
1391,Ssangyong Rexton,Mahindra,2014,65000,Diesel,Automatic,1,2696,184.0,7,11.18,1050000.0,75000,2100000
1392,Ecosport 1.5,Ford,2015,92708,Diesel,Manual,1,1498,89.84,5,22.7,748000.0,47435,1100000
